race_cat,race,age_bin,age_cat,date,date_start,age,pop,all_covid,all_pop,covid_prop,pop_prop,week_from_start,lm_mean,lm_se,lm_lower,lm_upper
Asian,asian,40-64,40 to 64,2020-11-03,2020-10-28,40,2004943,81,12183120,0.08641975308641975,0.16456728654072192,35,0.0763455251292566,0.004071419433504157,0.06836554303958846,0.08432550721892475
Asian,asian,40-64,40 to 64,2020-11-10,2020-11-04,40,2005251,91,12182308,0.0989010989010989,0.16460353818012152,36,0.07792715995271737,0.003986327442889932,0.0701139581646531,0.08574036174078165
Asian,asian,40-64,40 to 64,2020-11-17,2020-11-11,40,2005561,127,12181497,0.09448818897637795,0.16463994532034937,37,0.07948246274314237,0.003881146080614214,0.0718754164251385,0.08708950906114624
Asian,asian,40-64,40 to 64,2020-11-24,2020-11-18,40,2005869,150,12180686,0.09333333333333334,0.1646761931142466,38,0.08099847306036105,0.0037553115369032496,0.07363806244803069,0.08835888367269142
Asian,asian,40-64,40 to 64,2020-12-01,2020-11-25,40,2006179,200,12179875,0.09,0.1647126099405782,39,0.08246322788557786,0.0036098611997622734,0.07538789993404381,0.08953855583711191
Asian,asian,40-64,40 to 64,2020-12-08,2020-12-02,40,2006486,356,12179063,0.06741573033707865,0.164748798819745,40,0.08386576162137245,0.0034477525971486176,0.07710816653096116,0.09062335671178375
Asian,asian,40-64,40 to 64,2020-12-15,2020-12-09,40,2006796,491,12178251,0.07535641547861507,0.16478523886558094,41,0.08519610609169997,0.0032742892123095338,0.07877849923557328,0.09161371294782666
Asian,asian,40-64,40 to 64,2020-12-22,2020-12-16,40,2007105,747,12177439,0.08835341365461848,0.16482160165203866,42,0.08644529054189048,0.0030976631366444345,0.0803738707940674,0.09251671028971357
Asian,asian,40-64,40 to 64,2020-12-29,2020-12-23,40,2007414,988,12176629,0.08198380566801619,0.16485794221044264,43,0.08760534163864944,0.0029295402533571174,0.0818634427420695,0.09334724053522939
Asian,asian,40-64,40 to 64,2021-01-05,2020-12-30,40,2007723,1170,12175816,0.08803418803418804,0.1648943282322926,44,0.08866928347005767,0.0027854044721856413,0.08320989070457382,0.09412867623554153
Asian,asian,40-64,40 to 64,2021-01-12,2021-01-06,40,2008030,1232,12175005,0.06818181818181818,0.16493052774926992,45,0.08963113754557078,0.002684009729333811,0.08437047847607651,0.09489179661506505
Asian,asian,40-64,40 to 64,2021-01-19,2021-01-13,40,2008339,1150,12174193,0.10260869565217391,0.1649669099216679,46,0.09048592279601983,0.0026450051074126493,0.08530171278549104,0.09567013280654862
Asian,asian,40-64,40 to 64,2021-01-26,2021-01-20,40,2008649,973,12173383,0.09146968139773895,0.16500335198522875,47,0.09122965557361154,0.00268440611925841,0.08596821957986506,0.09649109156735802
Asian,asian,40-64,40 to 64,2021-02-02,2021-01-27,40,2008958,868,12172571,0.07834101382488479,0.16503974386347797,48,0.09185934965192771,0.002809641519875629,0.08635245227297147,0.09736624703088395
Asian,asian,40-64,40 to 64,2021-02-09,2021-02-03,40,2009266,629,12171759,0.09379968203497616,0.1650760584398689,49,0.09237301622592475,0.0030174826820267555,0.08645875016915232,0.09828728228269719
Asian,asian,40-64,40 to 64,2021-02-16,2021-02-10,40,2009574,561,12170947,0.11942959001782531,0.16511237786180483,50,0.09276966391193509,0.003296246633131437,0.08630902051099747,0.0992303073128727
Asian,asian,40-64,40 to 64,2021-02-23,2021-02-17,40,2009884,452,12170136,0.10398230088495575,0.16514885289696024,51,0.09304929874766571,0.003630105624929613,0.08593429172280367,0.10016430577252775
Asian,asian,40-64,40 to 64,2021-03-02,2021-02-24,40,2010193,282,12169324,0.10283687943262411,0.16518526419380403,52,0.09321292419219962,0.004002657114723944,0.08536771624734069,0.10105813213705855
Asian,asian,40-64,40 to 64,2021-03-09,2021-03-03,40,2010503,207,12168513,0.10144927536231885,0.1652217489515769,53,0.09326254112599408,0.00439876929406171,0.08464095330963313,0.10188412894235503
Asian,asian,40-64,40 to 64,2021-03-16,2021-03-10,40,2010810,164,12167702,0.07926829268292683,0.16525799201854222,54,0.09320114785088246,0.004805159893371958,0.08378303445987342,0.1026192612418915
Asian,asian,40-64,40 to 64,2021-03-23,2021-03-17,40,2011120,140,12166890,0.08571428571428572,0.16529450007356028,55,0.09303274009007345,0.00521040988389027,0.08282033671764852,0.10324514346249838
Asian,asian,40-64,40 to 64,2021-03-30,2021-03-24,40,2011428,108,12166078,0.08333333333333333,0.16533084861037387,56,0.09276231098815002,0.005604862757724084,0.08177677998301082,0.10374784199328922
Asian,asian,40-64,40 to 64,2021-04-06,2021-03-31,40,2011737,84,12165268,0.15476190476190477,0.16536725701398441,57,0.09239585111107096,0.005980621247097216,0.08067383346676041,0.10411786875538151
Asian,asian,40-64,40 to 64,2021-04-13,2021-04-07,40,2012046,84,12164456,0.07142857142857142,0.16540369746086467,58,0.09194034844617038,0.006331730909905205,0.07953015586275618,0.10435054102958459
